WARNING: MemModel.v:34: $readmemh(ALU_TEST_inst.hex): Not enough words in the file for the requested range [0:4095].
VCD info: dumpfile myfile.dmp opened for output.
Memory access at time 3014: addr=0xxxxxxxxX, write=0, data=xxxxxxxx
  ADD: result=000001f8, carry=0, ovf=0, neg=0, zero=0
Memory access at time 3030: addr=0xxxxxxxxX, write=0, data=xxxxxxxx
Memory access at time 3126: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=000001fa, carry=0, ovf=0, neg=0, zero=0
Memory access at time 3142: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 3238: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=00000200, carry=0, ovf=0, neg=0, zero=0
Memory access at time 3254: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 3350: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=00000202, carry=0, ovf=0, neg=0, zero=0
Memory access at time 3366: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 3446: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=00000206, carry=0, ovf=0, neg=0, zero=0
Memory access at time 3462: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 3542: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=0000020a, carry=0, ovf=0, neg=0, zero=0
Memory access at time 3558: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 3622: addr=0x00000000, write=0, data=00010000
Memory access at time 3638: addr=0x00000000, write=0, data=00010000
  ADD: result=xxxxxxxx, carry=x, ovf=x, neg=x, zero=x
Memory access at time 3654: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
  ADD: result=xxxxxxxx, carry=x, ovf=x, neg=x, zero=x
  ADD: result=xxxxxxxx, carry=x, ovf=x, neg=x, zero=x
Memory access at time 3670: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 3702: addr=0x00000000, write=0, data=00010000
Memory access at time 3718: addr=0x00000000, write=0, data=00010000
Memory access at time 3734: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 3750: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 3766: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 3782: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 3798: addr=0x00000000, write=0, data=00010000
Memory access at time 3814: addr=0x00000000, write=0, data=00010000
Memory access at time 3830: addr=0x00000000, write=0, data=00010000
Memory access at time 3846: addr=0x00000000, write=0, data=00010000
Memory access at time 3862: addr=0x00000000, write=0, data=00010000
Memory access at time 3878: addr=0x00000000, write=0, data=00010000
Memory access at time 3894: addr=0x00000000, write=0, data=00010000
Memory access at time 3910: addr=0x00000000, write=0, data=00010000
Memory access at time 3926: addr=0x00000000, write=0, data=00010000
Memory access at time 3942: addr=0x00000000, write=0, data=00010000
Memory access at time 3958: addr=0x00000000, write=0, data=00010000
Memory access at time 3974: addr=0x00000000, write=0, data=00010000
Memory access at time 3990: addr=0x00000000, write=0, data=00010000
Memory access at time 4006: addr=0x00000000, write=0, data=00010000
Memory access at time 4022: addr=0x00000000, write=0, data=00010000
Memory access at time 4038: addr=0x00000000, write=0, data=00010000
Memory access at time 4054: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 4070: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 4086: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 4102: addr=0xxxxxxx00, write=0, data=xxxxxxxx
Memory access at time 4118: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4134: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4150: addr=0xxX000000, write=0, data=00010000
Memory access at time 4166: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4182: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4198: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4214: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4230: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4246: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4262: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4278: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4294: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4310: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4326: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4342: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4358: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4374: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4390: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4406: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4422: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4438: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4454: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4470: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4486: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4502: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4518: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4534: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4550: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4566: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4582: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4598: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4614: addr=0xxxxX0000, write=0, data=00010000
Memory access at time 4630: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4646: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4662: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4678: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4694: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4710: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4726: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4742: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4758: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4774: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4790: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4806: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4822: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4838: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4854: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4870: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4886: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4902: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4918: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4934: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4950: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4966: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4982: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 4998: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5014: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5030: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5046: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5062: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5078: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5094: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5110: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5126: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5142: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5158: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5174: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5190: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5206: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5222: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5238: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5254: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5270: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5286: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5302: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5318: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5334: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5350: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
Memory access at time 5366: addr=0xxxxxxxxx, write=0, data=xxxxxxxx
